event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
30046732910,True,2010-10-16 22:23:00.000,153.245,-26.478,,-26.478,-26.478,A,least squares,153.245,153.245,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30078754393,True,2010-10-16 22:23:00.000,153.245,-26.478,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30046733350,True,2010-10-17 08:06:00.000,153.593,-26.707,,-26.707,-26.707,A,least squares,153.593,153.593,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30078754394,True,2010-10-17 08:06:00.000,153.532,-26.69,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30046733331,True,2010-10-17 09:44:00.000,153.573,-26.728,,-26.728,-26.728,2,least squares,153.573,153.573,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30078754395,True,2010-10-17 09:44:00.000,153.573,-26.728,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30046733408,True,2010-10-17 21:02:00.000,153.64,-27.216,,-27.216,-27.216,B,least squares,153.64,153.64,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30078754396,True,2010-10-17 21:02:00.000,153.64,-27.222,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30046733423,True,2010-10-17 21:53:00.000,153.649,-27.257,,-27.257,-27.257,1,least squares,153.649,153.649,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30078754397,True,2010-10-17 21:53:00.000,153.644,-27.257,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
30046733405,True,2010-10-17 22:35:00.000,153.639,-27.284,,-27.284,-27.284,1,least squares,153.639,153.639,,,argos-doppler-shift,Megaptera novaeangliae,98129,98129,Movements of Australia's east coast humpback whales
