event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:lat1,argos:lat2,argos:lc,argos:location-algorithm,argos:lon1,argos:lon2,comments,modelled,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
30046733274,True,2009-06-28 06:50:00.000,153.542,-29.005,,-29.005,-29.005,1,least squares,153.542,153.542,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746884,True,2009-06-28 06:50:00.000,153.542,-29.005,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733410,True,2009-06-28 10:30:00.000,153.641,-28.859,,-28.859,-28.859,A,least squares,153.641,153.641,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746885,True,2009-06-28 10:30:00.000,153.647,-28.826,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733418,True,2009-06-28 10:45:00.000,153.646,-28.825,,-28.825,-28.825,A,least squares,153.646,153.646,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746886,True,2009-06-28 10:45:00.000,153.654,-28.814,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733487,True,2009-06-28 12:10:00.000,153.704,-28.727,,-28.727,-28.727,A,least squares,153.704,153.704,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746887,True,2009-06-28 12:10:00.000,153.691,-28.733,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733483,True,2009-06-28 12:26:00.000,153.703,-28.717,,-28.717,-28.717,1,least squares,153.703,153.703,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746888,True,2009-06-28 12:26:00.000,153.698,-28.718,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733499,True,2009-06-28 13:44:00.000,153.719,-28.642,,-28.642,-28.642,B,least squares,153.719,153.719,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746889,True,2009-06-28 13:44:00.000,153.719,-28.648,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30046733506,True,2009-06-28 15:26:00.000,153.731,-28.557,,-28.557,-28.557,2,least squares,153.731,153.731,,,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
30078746890,True,2009-06-28 15:26:00.000,153.732,-28.556,,,,,,,,"state-space model location estimate (see Andrews-Goff et al. 2023, https://doi.org/10.3897/BDJ.11.e114729)",True,argos-doppler-shift,Megaptera novaeangliae,88730,88730,Movements of Australia's east coast humpback whales
